arm_wheel_angle:	19.167
arm_wheel_length:	24.500

steering_angle	valid_steering_angle	achermann_left_wheel	achermann_right_wheel	left_wheel_angle	right_wheel_angle	left_wheel_error	right_wheel_error	servo_angle	servo_raw_angle
-20.000	-20.000	-17.683	-22.979	-28.326	-28.326	10.644	5.347	-25.537	109.000	
-19.900	-19.900	-17.604	-22.849	-28.144	-28.144	10.540	5.295	-25.395	109.000	
-19.800	-19.800	-17.525	-22.719	-27.962	-27.962	10.437	5.244	-25.253	109.000	
-19.700	-19.700	-17.446	-22.589	-27.781	-27.781	10.336	5.193	-25.112	109.000	
-19.600	-19.600	-17.367	-22.459	-27.601	-27.601	10.235	5.142	-24.970	108.000	
-19.500	-19.500	-17.287	-22.329	-27.422	-27.422	10.134	5.092	-24.829	108.000	
-19.400	-19.400	-17.208	-22.200	-27.243	-27.243	10.035	5.043	-24.688	108.000	
-19.300	-19.300	-17.129	-22.070	-27.065	-27.065	9.936	4.995	-24.547	108.000	
-19.200	-19.200	-17.049	-21.941	-26.888	-26.888	9.838	4.946	-24.407	108.000	
-19.100	-19.100	-16.970	-21.812	-26.711	-26.711	9.741	4.899	-24.266	108.000	
-19.000	-19.000	-16.890	-21.683	-26.535	-26.535	9.645	4.852	-24.126	108.000	
-18.900	-18.900	-16.811	-21.555	-26.360	-26.360	9.549	4.805	-23.986	107.000	
-18.800	-18.800	-16.731	-21.426	-26.185	-26.185	9.454	4.759	-23.847	107.000	
-18.700	-18.700	-16.651	-21.298	-26.011	-26.011	9.360	4.713	-23.707	107.000	
-18.600	-18.600	-16.571	-21.169	-25.837	-25.837	9.266	4.668	-23.568	107.000	
-18.500	-18.500	-16.491	-21.041	-25.665	-25.665	9.174	4.623	-23.429	107.000	
-18.400	-18.400	-16.411	-20.913	-25.492	-25.492	9.081	4.579	-23.289	107.000	
-18.300	-18.300	-16.331	-20.786	-25.321	-25.321	8.990	4.535	-23.151	107.000	
-18.200	-18.200	-16.251	-20.658	-25.150	-25.150	8.900	4.492	-23.012	107.000	
